"asc_car","asc_train","asc_air","b_gc","b_invt","logLike"
0,0,0,0,0,-291.121815835177
0,0,0,0,0,0,-291.121815835177
6.656e-07,1.0752e-06,5.632e-07,0,-0.0001517312,-0.0011895552,-285.848932323899
0.000149030321239677,0.00022328239085156,-0.000177683258917548,0,-0.012395669478793,-0.000631915135358256,-280.008619108027
-0.00600753056840777,0.944931286521013,-0.334711343552779,0,-0.0169054316139856,-0.00151666365600349,-269.067560383537
0.292335112713836,1.00162019952421,-0.459540789558741,0,-0.0129699687215266,-0.0020568951413831,-267.511233981851
0.206327175844082,0.696928382785724,-1.1046113317452,0,-0.00952959471203511,-0.0029278408444276,-267.351453688058
0.387045202173199,0.850970357647519,-0.52676824881783,0,-0.0123743492005481,-0.00189326823574504,-267.140470875478
0.297627138075355,0.856807423289537,-0.667319278997635,0,-0.0118663688348391,-0.00219213193096389,-266.942288800182
0.300565540600846,0.837265510303603,-0.6929423957148,0,-0.0117119975721093,-0.00222324238590639,-266.936644994178
0.301692595547427,0.840223521694206,-0.685904898075569,0,-0.0117436143205879,-0.00221232297634383,-266.93652026083
0.301636356636623,0.840171000970486,-0.686127007957919,0,-0.0117420258807413,-0.00221277224431534,-266.936520092771
0.301636356635071,0.840171000970511,-0.686127007956983,0,-0.0117420258627693,-0.00221277307309265,-266.936520092769
0.301636537266537,0.840168058541982,-0.686126318132913,0,-0.0117420195012498,-0.00221277237941441,-266.936520092604
